,word_id,word,up_votes,down_votes,author,definition
151246,338555,germans,276,232,a6c97ba3,"A nation of people who are fanatical about David Hasselhoff, and when they go to beaches--either in their own or in other countries; they're always digging holes!"
152412,341491,romania,789,494,95606edc,Romania is a beautiful country and Transilvania is a province of it.
153448,343926,garbage man,135,39,2854a327,Someone who frequently dates girls that other guys have thrown out like trash. Usually goes for girls that are getting over a bad breakup.
153875,344948,yes man,235,152,39c6a455,Someone who always agrees with authority and does what he's told.
156253,350264,Stepmania,185,40,70f3e893,"Noun. A kick-ass computer version of the kick-ass arcade game known as [Dance Dance Revolution], or [DDR] by some of the better players. Especially popular with those who can't--through some reason or another--play DDR but enjoy the game nonetheless. The arrow keys of the keyboard replace the pad, unless one owns a pad which they can plug into their CPU's."
156289,350335,manifest,118,19,e5745531,Obvious; To make obvious.
157572,353360,Hitman,287,78,b1bef7df,"Awesome game series depicting the career of 'Codename 47', the highest paid assassin in the world. Highly realistic games with many elements involved, the most obvious one being stealth. Bucketloads of weapons to choose from and heaps of missions to get through."
158036,354542,commander and theif,152,62,432d3a9e,see [George w. bush]
158626,355937,commander in theif,135,27,b9c82e75,"George Bush, after his douchetard brother Jeb manipulated the Florida ballot count in Dubya's favor, causing a nationwide chain reaction that raped away any notions American citizens have that we might live in a free society or country where our fucking votes actually count for something more than a poor man's ass rag. For more information on the Florida vote counting debacle, go to www.unprecedented.org, a website for documentary of the same name, which outlines all of the criminal actions taken by the Republicans and fucking chimp-like bloodline of the Bushes."
158752,356269,germans,533,234,1c1c5102,"Germans are very smart, and cool people. ;; Without them, who knows what the hell we would do."
158894,356590,manboobs,115,29,cecf625a,"boobs on a man, also pronounced 'm'noobs'."
160242,359853,Necromancy,103,31,6dc524c8,"Sorcery/Shamanism style of raising the dead, either for control or divination."
160536,360536,commander in thief,129,25,66aa0e95,the biggest pimpin' daddy-o ;; aka ;; George Bush
160611,360714,he-man,241,103,9ec87fcd,"The original ambiguously gay hero. A great cartoon, but strangely homoerotic"
161319,362345,goatse man,481,122,791b955c,"More than a man; who, during a raid in Poland in 1942, couragously hid four Polish Jews in his enourmous, gaping hole."
163488,367216,sober irishman,214,67,3a79cb88,A mythical creature that only exists in legends and is often seen by drunking irishman. ;; Used by [irish] parents to scare their kids. ;; see [irish]
163520,367271,manboobs,130,46,a6ae1af5,[boobies] on a man. Usually when they've been hanging around [Maccy D's] for too long
164242,368895,Eggman,421,132,bad3ece1,The one who has the master plan.
164571,369588,manboobs,315,172,f92a45d,boobs on a man. not nessecarily big. because breasteses come in all shapes and sizes. but manboobs are better when theyre small
164642,369740,assman,321,92,290aeed7,A distinguished gentleman who can appreciate and prefer the finer things in life...such as a woman's booty. Often picks his dates from the back.
164917,370319,Picard maneuver,460,133,567f118a,When Captain Picard tugs the bottom of his tunic after standing up.
165486,371545,Ultraman,148,39,5a1ab071,A kick ass superhero that blows monsters into shit!
166506,373802,dennis rodman,321,66,ff8d780c,"not only the best nba forward.... he also banged carmen electra, on several occasions."
168246,377702,man milk,149,76,7a807604,"what the milk man gives to his special customer, like me"
168653,378613,Going Commando,230,240,2657ea29,1. Wearing pants without boxers. ;; 2. The coolest video game ever! Also called Ratchet & Clank 2. (The name is a joke)
169751,381350,manboobs,153,45,ce78894e,Dangling mass of fat found on males that dont get out nearly enough. I emphasize the last part because they clearly need some exercise instead of sitting on their asses all day playing video games and watching tv.
170514,383047,man boobies,194,62,c416fbc1,a dude with tits bigger than half the bitches in the whole damn town
171252,384702,gentleman,875,397,5a9415d9,"Something that is very rare in today's world. A gentleman is a man (yes, folks, a MAN) who will normally open doors for a lady and generally be quite nice and polite."
171847,386009,seaman,148,55,ca4e21ba,one who serves in the navy
172411,387291,manboobs,161,53,410dce9b,An abnormal size of the male chest..where on a fat or skinny guy has (breasts)
172430,387334,germany or florida,202,82,2504a44,"A game invented by the writers of Jimmy Kimmel Live, and is often played on Loveline by Adam Carolla. What happens is a story involving bizarre human behavior is read, at which point the hosts attempt to decide if the story was from Germany or Florida, which are the capitals of all that is disturbed and evil in the world."
172462,387414,Egomaniac,121,51,d3db8bf8,1)A self-absorbed waste of oxygen who expects us to grovel at their feet like the unwashed masses they see us as ;; 2.) Someone who talks just to hear themselves (because no-one else will listen) ;; 3.) Someone who posts definitions of their name because they think people care who they are. ;; 4.) The French. ;; (Unless their country is getting its ass kicked by some invading foreign army then they beg on hands and knees) ;; 5.) US magistrate judges I don't know if you ever seen one in court but the bastards think they're GOD (especially when they presiding in mediocre unknown little hic-towns or suburbs)
173690,390206,man boobies,151,21,df11896c,"Large mounds of flesh that develop on the chests of obese men where pecs should be. These often overlap fat rolls, have distored cylindrical, round, or lumpy shapes, and are sometimes hairy."
173826,390516,Lieberman,235,33,875625ea,Republican in Democrats clothing
174721,392525,romantic goth,129,30,176634,"A darkness loving, very emotional aspect of the gothic culture. Poetry and lace are highly valued, as well as corsets, velvet and coffins. Many are inspired by Victorian fashion and vampires. Very ghostly and dreamy."
175278,393843,germans,171,155,359bf8ca,"Smart people who sometimes have problems designing a from of government, and are a little obsesive compulsive, but are usually friendly, and make great engineers... Barvarians are an exception. Yes they are rude/ fascist idiots, but not all germany is barvaria. Oh Yeah, HITLER WAS AN AUSTRIAN, not german."
179188,404081,superman,4845,4001,cb4071a,The world's most recognizable superhero.
179993,406941,muffin man,405,173,478994c2,"A notorious criminal mastermind known to be plotting world domination via the mass baking of muffins. Experts hypothesise that he may be planning to force the muffins to fight for him. Although it was originally suggested that his lair was located on Drury Lane, searches produced no substantial results. Little more is known about him, other than that he may well be in league with a person by the name of M. Perryman. If you have any information on the whereabouts of the muffin man, do not hesitate to contact your government."
180412,408341,manc,131,196,e1e8ce26,"An inhabitant of Manchester, a city with a particularly high crime rate due to scousers having stolen everything in their own shithole, (see Liverpool). ;; Not to be confused with followers of Manchester city, who are known as 'bitters', (see Stockport)."
181268,411058,roman helmet,2071,687,669633ad,"While they are passed out, gently and inconspicuously place your fleshy bag on their forehead while carefully laying down your dudemeat down the bridge of their nose in parallel fashion"
183615,418503,mandem,1477,947,9c4529cb,Mandem like a plural of man. ;; a group of boys.
183776,419060,manhattan,238,126,c92feb4a,"one of the five burroughs of new york city. an island bound by the east and hudson rivers, manhattan contains most of the landmarks and sights that make new york city famous. it is comprised of many neighborhoods such as harlem, soho, the east village, wall street, that have unique personalities and attributes. ;; often, it is unfairly classified as being dirty and crime-ridden when it is actually one of the cleanest, safest (not including terrorism) cities in the world."
184020,419918,mcmansion,152,81,6a722b63,"A 'starter castle' that has the potential to be very nice if built on acres of land with a long, winding driveway to get to it but looses it all when it's at an arm's length of the neighbors house."
184092,420139,man boob,273,74,bd9251da,"You get man boobs when you eat a lot of food. Then you become fat, then all of a sudden PFFFFT!!! Man boobs."
186412,427678,spider man,687,309,359bf8ca,A sexual deviation.
186456,427836,back door man,281,65,bd4886fb,the man that some ones wife is seein on the side. usualy came to the back door to avoid any other house wives seein him.
187237,430413,man boobs,349,169,ca7f9f94,Guys: if your titties are bigger than Jenna Jameson's LAY OFF THE KRISPY KREMES AND START DOING PUSH UPS!
188161,433307,Till Lindemann,358,40,e3cfa5b5,Singer for the German Industrial Band [Rammstein]
188272,433643,Scatman,115,243,7f6bd6ca,Someone who shits on someone else
189101,436648,jigga man,287,118,fa80597d,another name for jay-z
189207,437067,loreto normanhurst,125,57,8eb1795e,private girls school on the north shore. ;; male-associated schools are mainly riverview and joeys ;; much better than loreto kiribilli ;; all girls @ loreto rock
189920,439480,Ayman,133,74,e547d025,In some muslim countries 'Ayman' is male name came from Koran. ;; But in such countries like Kazakhstan it is female name. ;; The meaning of name 'Ayman' is the star on the night sky.
